                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11465 |      11341 |      11393 |      11406 |      11413 |      11399 |      11383 |      11402 |      11412 |      11391 |      11378 |      11383 |      11424 |      11421 |      11378 |      11396 |      11409 |      11382 |      11371 |      11388 |      11393 |      11392 |      11400 |      11387 |      11401 |      11378 |      11399 |      11370 |      11412 |      11400 |      11298 |      11462
    num cache misses                 |      11193 |      11084 |      11100 |      11140 |      11155 |      11122 |      11075 |      11158 |      11138 |      11095 |      11096 |      11158 |      11166 |      11141 |      11063 |      11169 |      11170 |      11077 |      11080 |      11136 |      11123 |      11118 |      11156 |      11100 |      11145 |      11092 |      11156 |      11109 |      11157 |      11132 |      11124 |      11146
    miss rate                        |     97.63% |     97.73% |     97.43% |     97.67% |     97.74% |     97.57% |     97.29% |     97.86% |     97.60% |     97.40% |     97.52% |     98.02% |     97.74% |     97.55% |     97.23% |     98.01% |     97.91% |     97.32% |     97.44% |     97.79% |     97.63% |     97.59% |     97.86% |     97.48% |     97.75% |     97.49% |     97.87% |     97.70% |     97.77% |     97.65% |     98.46% |     97.24%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      23368 |          0 |      23047 |          0 |      23081 |          0 |      23267 |          0 |      23257 |          0 |      23199 |          0 |      23185 |          0 |      23226 |          0 |      23275 |          0 |      23096 |          0 |      23217 |          0 |      23237 |          0 |      23345 |          0 |      23259 |          0 |      23091 |          0 |      23303 |          0
  average dram access latency (ns)   |      43.51 |        inf |      43.95 |        inf |      44.42 |        inf |      43.77 |        inf |      43.60 |        inf |      43.90 |        inf |      43.82 |        inf |      43.65 |        inf |      43.55 |        inf |      44.29 |        inf |      43.81 |        inf |      43.83 |        inf |      43.71 |        inf |      43.79 |        inf |      43.72 |        inf |      44.30 |        inf
  average dram queueing delay        |       6.08 |       0.00 |       6.52 |       0.00 |       6.99 |       0.00 |       6.34 |       0.00 |       6.17 |       0.00 |       6.47 |       0.00 |       6.40 |       0.00 |       6.22 |       0.00 |       6.12 |       0.00 |       6.86 |       0.00 |       6.38 |       0.00 |       6.40 |       0.00 |       6.28 |       0.00 |       6.36 |       0.00 |       6.29 |       0.00 |       6.87 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      10493 |      10353 |      10428 |      10444 |      10450 |      10439 |      10422 |      10443 |      10441 |      10420 |      10419 |      10424 |      10464 |      10458 |      10412 |      10441 |      10452 |      10419 |      10405 |      10429 |      10436 |      10426 |      10438 |      10430 |      10438 |      10411 |      10438 |      10416 |      10450 |      10439 |      10317 |      10473
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
