                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num cache misses                 |      34857 |      32392 |      32217 |      32212 |      32474 |      32280 |      32452 |      32444 |      32223 |      32435 |      32432 |      32419 |      32639 |      32554 |      32320 |      32265 |      32457 |      32326 |      32284 |      32327 |      32447 |      32049 |      32113 |      32252 |      32332 |      32094 |      32392 |      32234 |      32029 |      32313 |      32448 |      33660
    miss rate                        |     88.88% |     90.42% |     89.37% |     89.13% |     89.87% |     89.68% |     89.54% |     89.57% |     89.58% |     90.29% |     89.80% |     89.67% |     90.22% |     90.10% |     89.41% |     89.46% |     89.26% |     90.07% |     89.49% |     89.38% |     89.83% |     88.90% |     88.68% |     89.27% |     89.46% |     89.09% |     89.59% |     89.27% |     88.51% |     89.12% |     90.56% |     89.18%
    mpki                             |       0.35 |       0.32 |       0.32 |       0.32 |       0.33 |       0.32 |       0.33 |       0.33 |       0.32 |       0.33 |       0.33 |       0.33 |       0.33 |       0.33 |       0.32 |       0.32 |       0.32 |       0.32 |       0.32 |       0.32 |       0.33 |       0.32 |       0.32 |       0.32 |       0.32 |       0.32 |       0.33 |       0.32 |       0.32 |       0.32 |       0.32 |       0.34
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     103263 |          0 |     100174 |          0 |      99216 |          0 |      99256 |          0 |      99889 |          0 |      99160 |          0 |      99484 |          0 |      99470 |          0 |      99498 |          0 |      99289 |          0 |      99626 |          0 |      99523 |          0 |      99811 |          0 |      99837 |          0 |      99799 |          0 |     101270 |          0
  average dram access latency (ns)   |     139.04 |        inf |     166.43 |        inf |     179.87 |        inf |     182.75 |        inf |     185.59 |        inf |     165.72 |        inf |     166.61 |        inf |     178.18 |        inf |     169.94 |        inf |     179.07 |        inf |     177.37 |        inf |     179.39 |        inf |     157.95 |        inf |     166.42 |        inf |     169.62 |        inf |     149.08 |        inf
  average dram queueing delay        |     101.61 |       0.00 |     129.00 |       0.00 |     142.44 |       0.00 |     145.32 |       0.00 |     148.16 |       0.00 |     128.29 |       0.00 |     129.18 |       0.00 |     140.75 |       0.00 |     132.51 |       0.00 |     141.64 |       0.00 |     139.95 |       0.00 |     141.96 |       0.00 |     120.52 |       0.00 |     128.99 |       0.00 |     132.19 |       0.00 |     111.65 |       0.00
  average dram bandwidth utilization |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      17007 |      15059 |      15535 |      15503 |      15218 |      15398 |      15538 |      15470 |      15270 |      15204 |      15443 |      15483 |      15229 |      15194 |      15393 |      15375 |      15547 |      15136 |      15378 |      15543 |      15574 |      15406 |      15601 |      15639 |      15625 |      15401 |      15530 |      15441 |      15632 |      15463 |      14967 |      16385
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
