                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     394240 |     392311 |     392391 |     392378 |     392455 |     392410 |     392415 |     392408 |     392354 |     392378 |     392417 |     392409 |     392478 |     392432 |     392400 |     392405 |     392388 |     392396 |     392365 |     392391 |     392331 |     392312 |     392404 |     392419 |     392374 |     392370 |     392417 |     392405 |     392375 |     392377 |     392305 |     394269
    num cache misses                 |      11333 |      11286 |      11273 |      11270 |      11264 |      11261 |      11264 |      11263 |      11265 |      11261 |      11265 |      11262 |      11264 |      11261 |      11260 |      11263 |      11259 |      11263 |      11270 |      11274 |      11263 |      11263 |      11263 |      11261 |      11264 |      11264 |      11265 |      11263 |      11260 |      11262 |      11286 |      11333
    miss rate                        |      2.87% |      2.88% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.87% |      2.88% |      2.87%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      11537 |      11468 |      11490 |      11489 |      11483 |      11491 |      11501 |      11476 |      11477 |      11460 |      11498 |      11471 |      11470 |      11479 |      11494 |      11491 |      11489 |      11507 |      11465 |      11477 |      11495 |      11488 |      11503 |      11473 |      11492 |      11473 |      11507 |      11482 |      11459 |      11491 |      11457 |      11567
    num cache misses                 |      11243 |      11143 |      11130 |      11216 |      11161 |      11181 |      11239 |      11130 |      11240 |      11117 |      11237 |      11120 |      11132 |      11168 |      11215 |      11177 |      11148 |      11227 |      11102 |      11260 |      11141 |      11224 |      11231 |      11127 |      11224 |      11129 |      11227 |      11141 |      11107 |      11255 |      11116 |      11294
    miss rate                        |     97.45% |     97.17% |     96.87% |     97.62% |     97.20% |     97.30% |     97.72% |     96.99% |     97.94% |     97.01% |     97.73% |     96.94% |     97.05% |     97.29% |     97.57% |     97.27% |     97.03% |     97.57% |     96.83% |     98.11% |     96.92% |     97.70% |     97.64% |     96.98% |     97.67% |     97.00% |     97.57% |     97.03% |     96.93% |     97.95% |     97.02% |     97.64%
    mpki                             |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11 |       0.11
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |      23324 |          0 |      23316 |          0 |      23083 |          0 |      23512 |          0 |      23209 |          0 |      23398 |          0 |      23497 |          0 |      23108 |          0 |      23497 |          0 |      23098 |          0 |      23496 |          0 |      23124 |          0 |      23077 |          0 |      23416 |          0 |      23242 |          0 |      23474 |          0
  average dram access latency (ns)   |      42.88 |        inf |      43.33 |        inf |      43.37 |        inf |      44.10 |        inf |      43.31 |        inf |      43.63 |        inf |      43.16 |        inf |      43.59 |        inf |      43.31 |        inf |      43.59 |        inf |      42.98 |        inf |      43.29 |        inf |      43.47 |        inf |      43.38 |        inf |      43.27 |        inf |      42.92 |        inf
  average dram queueing delay        |       5.45 |       0.00 |       5.90 |       0.00 |       5.94 |       0.00 |       6.68 |       0.00 |       5.88 |       0.00 |       6.20 |       0.00 |       5.73 |       0.00 |       6.17 |       0.00 |       5.88 |       0.00 |       6.16 |       0.00 |       5.55 |       0.00 |       5.86 |       0.00 |       6.04 |       0.00 |       5.95 |       0.00 |       5.84 |       0.00 |       5.49 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00% |      1.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      10484 |      10403 |      10434 |      10435 |      10434 |      10442 |      10454 |      10427 |      10429 |      10409 |      10449 |      10420 |      10423 |      10431 |      10449 |      10441 |      10440 |      10462 |      10406 |      10426 |      10441 |      10438 |      10457 |      10424 |      10445 |      10421 |      10456 |      10432 |      10409 |      10446 |      10388 |      10514
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
