                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
    miss rate                        |     77.11% |      7.19% |     53.81% |     43.59% |     43.70% |     36.49% |     43.05% |     38.46% |     43.30% |     43.11% |     42.50% |     39.35% |     41.59% |     44.82% |     42.17% |     38.22% |     39.42% |     42.20% |     44.35% |     41.42% |     42.93% |     44.00% |     37.54% |     43.28% |     42.56% |     43.16% |     36.31% |     42.55% |     37.68% |     41.98% |     44.79% |     41.32% |     43.20% |     42.34% |     44.63% |     43.95% |     43.09% |     42.82% |     42.60% |     42.11% |     42.63% |     42.99% |     44.20% |     43.60% |     43.43% |     42.70% |     42.61% |     41.93% |     40.17% |     11.20% |     11.95% |     12.00% |     11.45% |     12.09% |     11.45% |     12.10% |     11.60% |     12.28% |     11.53% |     12.16% |     11.30% |     11.96% |     11.40% |     12.13%
    mpki                             |       1.83 |       2.53 |       5.35 |       3.06 |       1.13 |       2.55 |       1.15 |       2.66 |       1.10 |       3.13 |       1.06 |       2.75 |       1.01 |       3.20 |       1.02 |       2.66 |       2.94 |       1.00 |       3.07 |       0.97 |       3.03 |       1.16 |       2.60 |       1.11 |       3.09 |       1.08 |       2.53 |       1.05 |       2.67 |       1.01 |       3.15 |       0.99 |       1.05 |       1.01 |       1.19 |       1.15 |       1.09 |       1.07 |       1.05 |       1.02 |       1.03 |       1.03 |       1.15 |       1.11 |       1.09 |       1.07 |       1.05 |       1.02 |       0.92 |       1.31 |       1.23 |       1.24 |       1.34 |       1.24 |       1.33 |       1.24 |       1.31 |       1.22 |       1.23 |       1.15 |       1.17 |       1.11 |       1.11 |       1.04
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |      85252 |     157504 |      18007 |       9307 |       8855 |       7864 |       8529 |       8108 |       9097 |       9583 |       9138 |       8388 |       9142 |       9787 |       9506 |       8154 |       9148 |       9690 |       9337 |       9712 |       9300 |       8968 |       7961 |       9131 |       9498 |       9356 |       7779 |       9497 |       8282 |       9583 |       9614 |       9696 |      11168 |      11127 |       9708 |       9972 |      10072 |      10305 |      10615 |      10747 |      11553 |      11841 |       9763 |       9981 |      10389 |      10794 |      11067 |      11162 |      10222 |      47492 |      41572 |      43556 |      48182 |      43114 |      47958 |      43856 |      47081 |      43090 |      44814 |      41756 |      44402 |      43074 |      43887 |      40460
    num cache misses                 |      82145 |     139315 |      15282 |       7912 |       5934 |       5582 |       5066 |       6865 |       5754 |       7069 |       5918 |       7167 |       5927 |       6686 |       6150 |       6351 |       6596 |       6185 |       7331 |       6622 |       6864 |       5878 |       6658 |       5490 |       6926 |       5796 |       6413 |       6310 |       6369 |       6087 |       7279 |       6362 |       6462 |       7019 |       5680 |       6200 |       5002 |       4933 |       5400 |       5473 |       7005 |       7312 |       5833 |       5973 |       5410 |       5651 |       5208 |       5181 |       8868 |      31004 |      25819 |      30410 |      30503 |      27204 |      30151 |      30752 |      30171 |      28453 |      27567 |      28788 |      27202 |      28298 |      27061 |      27455
    miss rate                        |     96.36% |     88.45% |     84.87% |     85.01% |     67.01% |     70.98% |     59.40% |     84.67% |     63.25% |     73.77% |     64.76% |     85.44% |     64.83% |     68.32% |     64.70% |     77.89% |     72.10% |     63.83% |     78.52% |     68.18% |     73.81% |     65.54% |     83.63% |     60.12% |     72.92% |     61.95% |     82.44% |     66.44% |     76.90% |     63.52% |     75.71% |     65.61% |     57.86% |     63.08% |     58.51% |     62.17% |     49.66% |     47.87% |     50.87% |     50.93% |     60.63% |     61.75% |     59.75% |     59.84% |     52.07% |     52.35% |     47.06% |     46.42% |     86.75% |     65.28% |     62.11% |     69.82% |     63.31% |     63.10% |     62.87% |     70.12% |     64.08% |     66.03% |     61.51% |     68.94% |     61.26% |     65.70% |     61.66% |     67.86%
    mpki                             |       1.82 |       2.36 |       4.59 |       2.68 |       0.88 |       1.88 |       0.80 |       2.31 |       0.81 |       2.36 |       0.79 |       2.41 |       0.76 |       2.24 |       0.76 |       2.13 |       2.19 |       0.73 |       2.47 |       0.76 |       2.30 |       0.89 |       2.23 |       0.77 |       2.30 |       0.77 |       2.15 |       0.80 |       2.12 |       0.74 |       2.43 |       0.74 |       0.73 |       0.77 |       0.82 |       0.84 |       0.64 |       0.60 |       0.63 |       0.61 |       0.75 |       0.76 |       0.81 |       0.78 |       0.67 |       0.66 |       0.58 |       0.56 |       0.92 |       1.16 |       0.97 |       1.14 |       1.14 |       1.02 |       1.13 |       1.16 |       1.13 |       1.07 |       0.98 |       1.03 |       0.93 |       0.97 |       0.89 |       0.90
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    1079311 |          0 |          0 |          0 |      89051 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  average dram access latency (ns)   |     478.11 |        inf |        inf |        inf |    2267.86 |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf |        inf
  average dram queueing delay        |     446.25 |       0.00 |       0.00 |       0.00 |    2236.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     15.00% |      0.00% |      0.00% |      0.00% |      1.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      42886 |      19976 |       4270 |       1398 |       2912 |        149 |       2845 |        126 |       3616 |        257 |       3491 |        163 |       4083 |        209 |       3984 |        228 |        271 |       3352 |        128 |       2763 |        214 |       2670 |        191 |       2762 |        331 |       3649 |        165 |       3774 |        229 |       4053 |        173 |       4083 |       3800 |       3719 |       3137 |       2784 |       2667 |       3066 |       3056 |       3010 |       3827 |       3854 |       3053 |       3449 |       3007 |       2888 |       2922 |       3403 |       5175 |      19796 |      17291 |      18556 |      20075 |      17387 |      19879 |      18881 |      19800 |      17437 |      19933 |      18702 |      19649 |      17455 |      19939 |      19284
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |       1533 |       4122 |       1749 |       1062 |       2131 |       1388 |       1457 |       1180 |       1288 |       1544 |       1624 |       1160 |       1032 |       1275 |       1319 |       1024 |       1819 |       1927 |       1187 |       3016 |       1378 |       2340 |       1168 |       1843 |       1515 |       1289 |       1209 |       1600 |       1610 |       1186 |       1207 |       1389 |       2028 |       2624 |       1781 |       2725 |       1722 |       1215 |       1715 |       1773 |       2487 |       2711 |       2133 |       1843 |       1744 |       2056 |       1643 |       1089 |       2656 |       3724 |       1517 |       4536 |       3155 |       2625 |       3108 |       4615 |       3201 |       3709 |        772 |       3123 |        782 |       3513 |        410 |       1407
