                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num cache accesses               |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |    4858491 |     348361 |     348359 |     348361 |     348359 |     348361 |     348359 |     348362 |     348361 |     348358 |     348363 |     348362 |     348360 |     348359 |     348359 |     348360 |     348360
    num cache misses                 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |      14020 |      14019 |      14024 |      14018 |      14028 |      14019 |      14018 |      14027 |      14026 |      14028 |      14019 |      14032 |      14033 |      14033 |      14024 |      14019
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      0.01% |      4.02% |      4.02% |      4.03% |      4.02% |      4.03% |      4.02% |      4.02% |      4.03% |      4.03% |      4.03% |      4.02% |      4.03% |      4.03% |      4.03% |      4.03% |      4.02%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14 |       0.14
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |      14092 |      14091 |      14096 |      14090 |      14100 |      14091 |      14090 |      14099 |      14098 |      14100 |      14091 |      14104 |      14106 |      14105 |      14096 |      14091
    num cache misses                 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |       7818 |       7817 |       7817 |       7817 |       7818 |       7817 |       7817 |       7817 |       7816 |       7817 |       7817 |       7817 |       7813 |       7823 |       7817 |       7817
    miss rate                        |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     55.48% |     55.48% |     55.46% |     55.48% |     55.45% |     55.48% |     55.48% |     55.44% |     55.44% |     55.44% |     55.48% |     55.42% |     55.39% |     55.46% |     55.46% |     55.48%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |       1044 |          0 |       1044 |          0 |       1044 |          0 |       1044 |          0 |       1044 |          0 |       1044 |          0 |       1044 |          0 |       1044 |          0 |      16231 |          0 |      16229 |          0 |      16230 |          0 |      16230 |          0 |      16227 |          0 |      16230 |          0 |      16232 |          0 |      16230 |          0
  average dram access latency (ns)   |      37.73 |        inf |      37.68 |        inf |      37.66 |        inf |      37.66 |        inf |      37.63 |        inf |      37.35 |        inf |      37.70 |        inf |      37.71 |        inf |      33.80 |        inf |      33.93 |        inf |      33.85 |        inf |      33.81 |        inf |      33.99 |        inf |      33.95 |        inf |      33.90 |        inf |      33.98 |        inf
  average dram queueing delay        |       5.86 |       0.00 |       5.82 |       0.00 |       5.79 |       0.00 |       5.80 |       0.00 |       5.77 |       0.00 |       5.48 |       0.00 |       5.84 |       0.00 |       5.85 |       0.00 |       1.93 |       0.00 |       2.07 |       0.00 |       1.99 |       0.00 |       1.95 |       0.00 |       2.12 |       0.00 |       2.09 |       0.00 |       2.04 |       0.00 |       2.11 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |       4006 |       4005 |       4005 |       4005 |       4006 |       4005 |       4005 |       4005 |       4004 |       4006 |       4005 |       4005 |       4006 |       4005 |       4005 |       4005
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
