                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
  Cache L2                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     483649 |    9612309 |     430570 |    9612614 |     430861 |    9612888 |     409733 |    9613139 |     420501 |    9611424 |     440858 |    9560826 |    9604234 |     442930 |    9614444 |     421527 |     422496 |    9613065 |     403316 |    9578855 |     445242 |    9603473 |     435468 |    9609706 |     460461 |    9609761 |     392141 |    9592447 |    9612508 |     462098 |    9611880 |     453230
    num cache misses                 |     483116 |    9611790 |     430037 |    9612081 |     430328 |    9612355 |     409200 |    9612608 |     419968 |    9610891 |     440325 |    9560293 |    9603705 |     442397 |    9613913 |     421060 |     422005 |    9612533 |     402783 |    9578325 |     444709 |    9602944 |     434937 |    9609173 |     459928 |    9609228 |     391608 |    9591914 |    9611976 |     461565 |    9611374 |     452698
    miss rate                        |     99.89% |     99.99% |     99.88% |     99.99% |     99.88% |     99.99% |     99.87% |     99.99% |     99.87% |     99.99% |     99.88% |     99.99% |     99.99% |     99.88% |     99.99% |     99.89% |     99.88% |     99.99% |     99.87% |     99.99% |     99.88% |     99.99% |     99.88% |     99.99% |     99.88% |     99.99% |     99.86% |     99.99% |     99.99% |     99.88% |     99.99% |     99.88%
    mpki                             |      94.21 |      96.14 |      93.88 |      96.14 |      93.93 |      96.14 |      93.80 |      96.14 |      93.89 |      96.14 |      93.94 |      96.14 |      96.14 |      93.98 |      96.14 |      93.89 |      93.93 |      96.14 |      93.73 |      96.14 |      93.99 |      96.14 |      93.93 |      96.14 |      94.09 |      96.14 |      93.64 |      96.14 |      96.14 |      94.09 |      96.14 |      94.04
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     483176 |    9611852 |     430097 |    9612141 |     430388 |    9612415 |     409260 |    9612669 |     420028 |    9610951 |     440385 |    9560353 |    9603765 |     442457 |    9613974 |     421125 |     422070 |    9612594 |     402843 |    9578386 |     444769 |    9603005 |     434998 |    9609233 |     459988 |    9609288 |     391668 |    9591978 |    9612037 |     461625 |    9611440 |     452758
    num cache misses                 |     483099 |    9600224 |     430032 |    9600460 |     430325 |    9600744 |     409191 |    9600987 |     419960 |    9599326 |     440313 |    9548752 |    9592147 |     442368 |    9602289 |     421055 |     422005 |    9600939 |     402736 |    9566740 |     444691 |    9591350 |     434930 |    9597597 |     459918 |    9597629 |     391585 |    9580339 |    9600391 |     461558 |    9599811 |     452681
    miss rate                        |     99.98% |     99.88% |     99.98% |     99.88% |     99.99% |     99.88% |     99.98% |     99.88% |     99.98% |     99.88% |     99.98% |     99.88% |     99.88% |     99.98% |     99.88% |     99.98% |     99.98% |     99.88% |     99.97% |     99.88% |     99.98% |     99.88% |     99.98% |     99.88% |     99.98% |     99.88% |     99.98% |     99.88% |     99.88% |     99.99% |     99.88% |     99.98%
    mpki                             |      94.21 |      96.02 |      93.88 |      96.02 |      93.93 |      96.02 |      93.79 |      96.02 |      93.88 |      96.02 |      93.93 |      96.02 |      96.02 |      93.97 |      96.02 |      93.89 |      93.93 |      96.02 |      93.72 |      96.02 |      93.99 |      96.02 |      93.93 |      96.02 |      94.09 |      96.02 |      93.64 |      96.02 |      96.02 |      94.09 |      96.02 |      94.04
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |    1799072 |          0 |   38379968 |          0 |    1653171 |          0 |   38314185 |          0 |    1739342 |          0 |   38361893 |          0 |    1677667 |          0 |   38374886 |          0 |    1748910 |          0 |   38371577 |          0 |    1653528 |          0 |   38235840 |          0 |   38362728 |          0 |    1797131 |          0 |   38381862 |          0 |    1736673 |          0
  average dram access latency (ns)   |   20323.12 |        inf |      44.72 |        inf |   30566.75 |        inf |      70.79 |        inf |   23341.48 |        inf |      43.42 |        inf |   23777.69 |        inf |      43.60 |        inf |   21959.99 |        inf |      44.38 |        inf |   28963.54 |        inf |      63.51 |        inf |      46.45 |        inf |   23208.48 |        inf |      76.61 |        inf |   22516.06 |        inf
  average dram queueing delay        |   20285.69 |       0.00 |       7.29 |       0.00 |   30529.32 |       0.00 |      33.36 |       0.00 |   23304.05 |       0.00 |       5.99 |       0.00 |   23740.26 |       0.00 |       6.17 |       0.00 |   21922.56 |       0.00 |       6.95 |       0.00 |   28926.11 |       0.00 |      26.08 |       0.00 |       9.02 |       0.00 |   23171.05 |       0.00 |      39.18 |       0.00 |   22478.64 |       0.00
  average dram bandwidth utilization |     69.00% |      0.00% |   1492.00% |      0.00% |     64.00% |      0.00% |   1490.00% |      0.00% |     67.00% |      0.00% |   1491.00% |      0.00% |     65.00% |      0.00% |   1492.00% |      0.00% |     68.00% |      0.00% |   1492.00% |      0.00% |     64.00% |      0.00% |   1487.00% |      0.00% |   1491.00% |      0.00% |     69.00% |      0.00% |   1492.00% |      0.00% |     67.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |       2582 |       4357 |       2510 |       4340 |       2545 |       4340 |       2524 |       4342 |       2551 |       4339 |       2513 |       4327 |       4343 |       2537 |       4342 |       2615 |       2654 |       4342 |       2493 |       4338 |       2535 |       4345 |       2532 |       4339 |       2565 |       4339 |       2483 |       4357 |       4342 |       2563 |       4375 |       2548
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
