                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
    num cache misses                 |     1473043 |     2051549 |     1441067 |     1429071 |     1417102 |     1379574 |     1344607 |     1248738 |     1417730 |     1320196 |     1362831 |     1367756 |     1361889 |     1280985 |     1421850 |     1372468 |     1455093 |     1326356 |     1395382 |     1375093 |     1248144 |     1317426 |     1224484 |     1381642 |     1472888 |     1307694 |     1369511 |     1356904 |     1558359 |     1346074 |     1346364 |     1369015 |     1516061 |     1381611 |     1368893 |     1515178 |     1391218 |     1374020 |     1546154 |     1361281 |     1386421 |     1556002 |     1444483 |     1359136 |     1572932 |     1389674 |     1377859 |     1339305 |     1322348 |     1386948 |     1594974 |     1375099 |     1359447 |     1540823 |     1260262 |     1361739 |     1569343 |     1388358 |     1355927 |     1472458 |     1357098 |     1370545 |     1498584 |     1531661
    miss rate                        |      66.21% |      54.48% |      48.66% |      49.02% |      52.62% |      52.18% |      52.50% |      53.81% |      51.97% |      53.28% |      52.78% |      52.62% |      52.18% |      54.23% |      52.11% |      51.80% |      52.52% |      52.00% |      53.91% |      52.64% |      53.51% |      53.75% |      54.93% |      50.98% |      50.83% |      54.68% |      50.51% |      58.71% |      47.14% |      58.74% |      59.97% |      58.75% |      49.69% |      57.79% |      57.14% |      50.34% |      58.94% |      49.65% |      49.42% |      58.68% |      59.31% |      47.98% |      58.38% |      59.53% |      48.93% |      57.90% |      48.76% |      59.15% |      57.41% |      57.25% |      46.98% |      59.28% |      56.93% |      47.08% |      59.06% |      58.08% |      51.14% |      58.15% |      59.23% |      49.89% |      57.83% |      59.26% |      51.42% |      50.12%
    mpki                             |       17.22 |        2.56 |        2.37 |        2.48 |        2.67 |        2.54 |        2.71 |        2.71 |        2.59 |        2.61 |        2.66 |        2.71 |        2.74 |        2.63 |        2.48 |        2.67 |        2.52 |        2.64 |        2.65 |        2.57 |        2.68 |        2.75 |        2.82 |        2.57 |        2.47 |        2.87 |        2.61 |        3.33 |        2.34 |        3.10 |        3.29 |        3.19 |        2.48 |        3.26 |        3.03 |        2.56 |        3.22 |        2.59 |        2.43 |        3.34 |        3.07 |        2.38 |        3.15 |        3.16 |        2.44 |        3.22 |        2.51 |        3.24 |        3.11 |        3.29 |        2.29 |        3.32 |        3.02 |        2.33 |        3.12 |        3.28 |        2.44 |        3.14 |        3.12 |        2.46 |        3.08 |        3.38 |        2.44 |        2.47
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     2027080 |     2313061 |     1643021 |     1621514 |     1593903 |     1560879 |     1509863 |     1403636 |     1600879 |     1488848 |     1534166 |     1536693 |     1527227 |     1443845 |     1613136 |     1544540 |     1647967 |     1493817 |     1571303 |     1554789 |     1403599 |     1477553 |     1370074 |     1561822 |     1671025 |     1460668 |     1544653 |     1493168 |     1777235 |     1492160 |     1481768 |     1513299 |     1719137 |     1522162 |     1519247 |     1711220 |     1535086 |     1550182 |     1757569 |     1497482 |     1537057 |     1771060 |     1597289 |     1502438 |     1787713 |     1533402 |     1560882 |     1477999 |     1465153 |     1527572 |     1824513 |     1513211 |     1508868 |     1759195 |     1396041 |     1500129 |     1783287 |     1536304 |     1501137 |     1671178 |     1504392 |     1506027 |     1702699 |     1736514
    num cache misses                 |     1387187 |     1950741 |     1355007 |     1333316 |     1351470 |     1310638 |     1259264 |     1171864 |     1338457 |     1244350 |     1293468 |     1292097 |     1276327 |     1212042 |     1344906 |     1294455 |     1376067 |     1260747 |     1320547 |     1299002 |     1177293 |     1242565 |     1151516 |     1320143 |     1405003 |     1241102 |     1296314 |     1281660 |     1483289 |     1274510 |     1266592 |     1288296 |     1430186 |     1286426 |     1295244 |     1432663 |     1302437 |     1297382 |     1461160 |     1279733 |     1312725 |     1483495 |     1366773 |     1293100 |     1495502 |     1298406 |     1297781 |     1259090 |     1240130 |     1300172 |     1518052 |     1285633 |     1284133 |     1463752 |     1185430 |     1268178 |     1498200 |     1309726 |     1282675 |     1404638 |     1280303 |     1286513 |     1427298 |     1455289
    miss rate                        |      68.43% |      84.34% |      82.47% |      82.23% |      84.79% |      83.97% |      83.40% |      83.49% |      83.61% |      83.58% |      84.31% |      84.08% |      83.57% |      83.95% |      83.37% |      83.81% |      83.50% |      84.40% |      84.04% |      83.55% |      83.88% |      84.10% |      84.05% |      84.53% |      84.08% |      84.97% |      83.92% |      85.83% |      83.46% |      85.41% |      85.48% |      85.13% |      83.19% |      84.51% |      85.26% |      83.72% |      84.84% |      83.69% |      83.14% |      85.46% |      85.41% |      83.76% |      85.57% |      86.07% |      83.65% |      84.67% |      83.14% |      85.19% |      84.64% |      85.11% |      83.20% |      84.96% |      85.11% |      83.21% |      84.91% |      84.54% |      84.01% |      85.25% |      85.45% |      84.05% |      85.10% |      85.42% |      83.83% |      83.81%
    mpki                             |       16.21 |        2.43 |        2.23 |        2.31 |        2.55 |        2.41 |        2.54 |        2.54 |        2.44 |        2.46 |        2.53 |        2.56 |        2.57 |        2.49 |        2.34 |        2.52 |        2.39 |        2.51 |        2.50 |        2.42 |        2.53 |        2.59 |        2.65 |        2.45 |        2.36 |        2.72 |        2.47 |        3.15 |        2.22 |        2.93 |        3.10 |        3.00 |        2.34 |        3.04 |        2.87 |        2.42 |        3.02 |        2.45 |        2.29 |        3.14 |        2.91 |        2.27 |        2.98 |        3.01 |        2.32 |        3.01 |        2.36 |        3.05 |        2.91 |        3.08 |        2.18 |        3.11 |        2.85 |        2.21 |        2.93 |        3.05 |        2.33 |        2.96 |        2.95 |        2.35 |        2.90 |        3.17 |        2.32 |        2.35
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |   143168283 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |      556.78 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |      524.91 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |      82.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |     1064085 |      808496 |      506655 |      517955 |      593687 |      540903 |      555353 |      526824 |      564927 |      535233 |      571187 |      578611 |      575828 |      527357 |      539748 |      569732 |      565017 |      549388 |      577328 |      548612 |      517745 |      565427 |      541027 |      549227 |      561434 |      592357 |      557810 |      705799 |      541306 |      661740 |      685735 |      687272 |      566685 |      688145 |      648804 |      598292 |      695763 |      549134 |      567178 |      703451 |      676065 |      552083 |      714183 |      684144 |      587291 |      691571 |      524622 |      681256 |      641881 |      705806 |      536712 |      703689 |      643828 |      531488 |      621789 |      689407 |      595869 |      685132 |      668599 |      557473 |      656713 |      715491 |      556341 |      579381
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |       22640 |       15502 |       21644 |       23351 |       26891 |       22625 |       22517 |       14681 |       24450 |       16218 |       20898 |       23206 |       19244 |       17060 |       19947 |       23253 |       20740 |       21403 |       18355 |       17044 |       18252 |       19760 |       17457 |       28882 |       23596 |       21181 |       22592 |       18805 |       30623 |       19090 |       16938 |       17292 |       23378 |       19074 |       19321 |       21678 |       17858 |       19998 |       21970 |       20408 |       15094 |       32023 |       20481 |       17784 |       27571 |       19940 |       22408 |       16147 |       19036 |       16796 |       33939 |       16743 |       19269 |       32445 |       14446 |       16845 |       21391 |       16703 |       17902 |       24640 |       19859 |       18344 |       24138 |       22743
