                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31   
    num cache misses                 |    5370208 |    5370203 |    5371675 |    5370095 |    5370187 |    5370223 |    5370195 |    5370199 |     605585 |     605672 |     605579 |     605651 |     605584 |     605671 |     605614 |     605776 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |       7817 |       7818 |       7818 |       7817 |       7817 |       7817 |       7817 |       7817
    miss rate                        |     89.47% |     89.47% |     89.49% |     89.48% |     89.47% |     89.47% |     89.47% |     89.47% |     98.19% |     98.19% |     98.19% |     98.19% |     98.19% |     98.19% |     98.19% |     98.19% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     55.48% |     55.48% |     55.47% |     55.48% |     55.48% |     55.48% |     55.44% |     55.48%
    mpki                             |      53.65 |      53.65 |      53.66 |      53.65 |      53.65 |      53.65 |      53.65 |      53.65 |       6.05 |       6.05 |       6.05 |       6.05 |       6.05 |       6.05 |       6.05 |       6.05 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08 |       0.08
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |   18783768 |          0 |   18786645 |          0 |   18783855 |          0 |   18783872 |          0 |    1221714 |          0 |    1221688 |          0 |    1221711 |          0 |    1221850 |          0 |       1044 |          0 |       1044 |          0 |       1044 |          0 |       1044 |          0 |      16231 |          0 |      16230 |          0 |      16230 |          0 |      16230 |          0
  average dram access latency (ns)   |     101.32 |        inf |     100.39 |        inf |     101.35 |        inf |     101.30 |        inf |      32.05 |        inf |      32.04 |        inf |      32.05 |        inf |      32.05 |        inf |      37.96 |        inf |      37.76 |        inf |      37.68 |        inf |      37.67 |        inf |      33.90 |        inf |      33.81 |        inf |      33.98 |        inf |      33.99 |        inf
  average dram queueing delay        |      69.46 |       0.00 |      68.53 |       0.00 |      69.48 |       0.00 |      69.44 |       0.00 |       0.19 |       0.00 |       0.18 |       0.00 |       0.19 |       0.00 |       0.18 |       0.00 |       6.09 |       0.00 |       5.90 |       0.00 |       5.82 |       0.00 |       5.81 |       0.00 |       2.04 |       0.00 |       1.94 |       0.00 |       2.12 |       0.00 |       2.13 |       0.00
  average dram bandwidth utilization |     75.00% |      0.00% |     75.00% |      0.00% |     75.00% |      0.00% |     75.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |    1344889 |    1344889 |    1344825 |    1344794 |    1344891 |    1344936 |    1344934 |    1344926 |     603629 |     603713 |     603622 |     603690 |     603626 |     603705 |     603657 |     603814 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |       4005 |       4006 |       4006 |       4005 |       4005 |       4005 |       4005 |       4005
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
