                                     | Core 0     | Core 1     | Core 2     | Core 3     | Core 4     | Core 5     | Core 6     | Core 7     | Core 8     | Core 9     | Core 10    | Core 11    | Core 12    | Core 13    | Core 14    | Core 15    | Core 16    | Core 17    | Core 18    | Core 19    | Core 20    | Core 21    | Core 22    | Core 23    | Core 24    | Core 25    | Core 26    | Core 27    | Core 28    | Core 29    | Core 30    | Core 31    | Core 32    | Core 33    | Core 34    | Core 35    | Core 36    | Core 37    | Core 38    | Core 39    | Core 40    | Core 41    | Core 42    | Core 43    | Core 44    | Core 45    | Core 46    | Core 47    | Core 48    | Core 49    | Core 50    | Core 51    | Core 52    | Core 53    | Core 54    | Core 55    | Core 56    | Core 57    | Core 58    | Core 59    | Core 60    | Core 61    | Core 62    | Core 63   
    miss rate                        |     32.13% |     32.05% |     32.20% |     32.26% |     31.78% |     31.65% |     31.71% |     31.77% |     31.73% |     31.65% |     31.59% |     31.69% |     31.57% |     31.67% |     31.65% |     31.58% |     31.64% |     31.58% |     31.55% |     31.66% |     31.75% |     31.70% |     31.79% |     31.66% |     31.74% |     31.64% |     31.79% |     31.69% |     31.59% |     31.73% |     31.67% |     31.64% |     20.10% |     20.10% |     20.10% |     20.08% |     20.11% |     20.10% |     20.11% |     20.11% |     20.10% |     20.10% |     20.10% |     20.09% |     20.11% |     20.10% |     20.10% |     20.10% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       2.02 |       2.02 |       2.03 |       2.04 |       2.00 |       1.99 |       1.99 |       2.00 |       1.99 |       1.99 |       1.98 |       1.99 |       1.98 |       1.99 |       1.99 |       1.98 |       1.99 |       1.98 |       1.98 |       1.99 |       1.99 |       1.99 |       2.00 |       1.99 |       1.99 |       1.99 |       2.00 |       1.99 |       1.98 |       1.99 |       1.99 |       1.99 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
  Cache L3                           |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
    num cache accesses               |     128798 |     128493 |     125313 |     125569 |     124048 |     123477 |     123676 |     124012 |     123849 |     123511 |     123245 |     123648 |     123249 |     123709 |     123537 |     123284 |     123567 |     123300 |     123282 |     123647 |     123933 |     123713 |     124152 |     123567 |     123818 |     123492 |     124090 |     123649 |     123317 |     123868 |     123619 |     123524 |      72549 |      72587 |      72582 |      72486 |      72623 |      72535 |      72616 |      72539 |      72560 |      72607 |      72626 |      72510 |      72567 |      72538 |      72564 |      72573 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634 |        634
    num cache misses                 |     100927 |     100668 |      98159 |      98381 |      97080 |      96582 |      96781 |      97035 |      96920 |      96604 |      96404 |      96751 |      96370 |      96754 |      96643 |      96403 |      96655 |      96441 |      96377 |      96738 |      96960 |      96782 |      97166 |      96652 |      96895 |      96581 |      97125 |      96766 |      96439 |      96927 |      96715 |      96623 |      71280 |      71298 |      71304 |      71243 |      71332 |      71273 |      71333 |      71298 |      71292 |      71340 |      71335 |      71249 |      71291 |      71272 |      71295 |      71279 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522 |        522
    miss rate                        |     78.36% |     78.35% |     78.33% |     78.35% |     78.26% |     78.22% |     78.25% |     78.25% |     78.26% |     78.21% |     78.22% |     78.25% |     78.19% |     78.21% |     78.23% |     78.20% |     78.22% |     78.22% |     78.18% |     78.24% |     78.24% |     78.23% |     78.26% |     78.22% |     78.26% |     78.21% |     78.27% |     78.26% |     78.20% |     78.25% |     78.24% |     78.22% |     98.25% |     98.22% |     98.24% |     98.29% |     98.22% |     98.26% |     98.23% |     98.29% |     98.25% |     98.25% |     98.22% |     98.26% |     98.24% |     98.25% |     98.25% |     98.22% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33% |     82.33%
    mpki                             |       2.02 |       2.02 |       2.03 |       2.04 |       2.00 |       1.99 |       1.99 |       2.00 |       1.99 |       1.99 |       1.98 |       1.99 |       1.98 |       1.99 |       1.99 |       1.98 |       1.99 |       1.98 |       1.98 |       1.99 |       1.99 |       1.99 |       2.00 |       1.99 |       1.99 |       1.99 |       2.00 |       1.99 |       1.98 |       1.99 |       1.99 |       1.99 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.71 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01 |       0.01
DRAM summary                         |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num dram accesses                  |     414501 |          0 |          0 |          0 |     408019 |          0 |          0 |          0 |     404811 |          0 |          0 |          0 |     405007 |          0 |          0 |          0 |     404636 |          0 |          0 |          0 |     404124 |          0 |          0 |          0 |     404128 |          0 |          0 |          0 |     404060 |          0 |          0 |          0 |     247989 |          0 |          0 |          0 |     248010 |          0 |          0 |          0 |     248804 |          0 |          0 |          0 |     248891 |          0 |          0 |          0 |     248405 |          0 |          0 |          0 |     248919 |          0 |          0 |          0 |     248304 |          0 |          0 |          0 |     248280 |          0 |          0 |          0
  average dram access latency (ns)   |      33.21 |        inf |        inf |        inf |      33.22 |        inf |        inf |        inf |      33.23 |        inf |        inf |        inf |      33.20 |        inf |        inf |        inf |      33.21 |        inf |        inf |        inf |      33.23 |        inf |        inf |        inf |      33.23 |        inf |        inf |        inf |      33.21 |        inf |        inf |        inf |      32.12 |        inf |        inf |        inf |      32.13 |        inf |        inf |        inf |      32.13 |        inf |        inf |        inf |      32.12 |        inf |        inf |        inf |      32.13 |        inf |        inf |        inf |      32.12 |        inf |        inf |        inf |      32.12 |        inf |        inf |        inf |      32.13 |        inf |        inf |        inf
  average dram queueing delay        |       1.35 |       0.00 |       0.00 |       0.00 |       1.36 |       0.00 |       0.00 |       0.00 |       1.37 |       0.00 |       0.00 |       0.00 |       1.34 |       0.00 |       0.00 |       0.00 |       1.35 |       0.00 |       0.00 |       0.00 |       1.37 |       0.00 |       0.00 |       0.00 |       1.37 |       0.00 |       0.00 |       0.00 |       1.35 |       0.00 |       0.00 |       0.00 |       0.26 |       0.00 |       0.00 |       0.00 |       0.26 |       0.00 |       0.00 |       0.00 |       0.26 |       0.00 |       0.00 |       0.00 |       0.26 |       0.00 |       0.00 |       0.00 |       0.26 |       0.00 |       0.00 |       0.00 |       0.26 |       0.00 |       0.00 |       0.00 |       0.25 |       0.00 |       0.00 |       0.00 |       0.26 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      6.00% |      0.00% |      0.00% |      0.00% |      6.00% |      0.00% |      0.00% |      0.00% |      6.00% |      0.00% |      0.00% |      0.00% |      6.00% |      0.00% |      0.00% |      0.00% |      6.00% |      0.00% |      0.00% |      0.00% |      6.00% |      0.00% |      0.00% |      0.00% |      6.00% |      0.00% |      0.00% |      0.00% |      6.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00% |      4.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |            |           
  num loads from dram                |      97195 |      96938 |      94476 |      94682 |      93438 |      92997 |      93138 |      93415 |      93296 |      93010 |      92797 |      93123 |      92764 |      93150 |      92999 |      92787 |      93043 |      92822 |      92813 |      93108 |      93338 |      93155 |      93512 |      93048 |      93276 |      93023 |      93499 |      93132 |      92853 |      93308 |      93097 |      93015 |      20313 |      20346 |      20326 |      20272 |      20338 |      20300 |      20342 |      20300 |      20319 |      20334 |      20357 |      20287 |      20327 |      20318 |      20315 |      20348 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124 |        124
  num loads from dram cache          |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0
