                                     | Core 0      | Core 1      | Core 2      | Core 3      | Core 4      | Core 5      | Core 6      | Core 7      | Core 8      | Core 9      | Core 10     | Core 11     | Core 12     | Core 13     | Core 14     | Core 15     | Core 16     | Core 17     | Core 18     | Core 19     | Core 20     | Core 21     | Core 22     | Core 23     | Core 24     | Core 25     | Core 26     | Core 27     | Core 28     | Core 29     | Core 30     | Core 31     | Core 32     | Core 33     | Core 34     | Core 35     | Core 36     | Core 37     | Core 38     | Core 39     | Core 40     | Core 41     | Core 42     | Core 43     | Core 44     | Core 45     | Core 46     | Core 47     | Core 48     | Core 49     | Core 50     | Core 51     | Core 52     | Core 53     | Core 54     | Core 55     | Core 56     | Core 57     | Core 58     | Core 59     | Core 60     | Core 61     | Core 62     | Core 63    
    miss rate                        |       5.22% |      35.01% |      75.48% |      26.43% |      19.22% |      21.87% |      21.36% |      19.66% |      20.44% |      18.32% |      20.62% |      16.61% |      18.03% |      17.44% |      15.85% |      17.12% |      14.99% |      16.07% |      36.42% |      41.81% |      39.69% |      46.78% |      44.11% |      39.08% |      44.78% |      43.61% |      43.77% |      44.47% |      39.33% |      42.87% |      43.72% |      46.04% |      39.35% |      16.99% |      16.08% |      18.25% |      17.26% |      16.98% |      13.33% |      14.63% |      29.05% |      18.25% |      22.84% |      19.80% |      20.18% |      26.30% |      22.56% |      18.63% |      19.84% |      13.40% |      16.10% |      16.41% |      16.98% |      25.15% |      20.54% |      18.26% |      17.77% |      20.36% |      20.43% |      20.67% |      16.18% |      17.97% |      18.00% |      17.34%
    mpki                             |        3.79 |        2.98 |        4.17 |        2.80 |        1.51 |        2.27 |        2.43 |        2.25 |        2.14 |        1.59 |        1.47 |        1.47 |        1.92 |        1.87 |        1.83 |        1.89 |        1.36 |        1.29 |        1.85 |        1.77 |        1.54 |        2.21 |        1.90 |        2.53 |        2.12 |        2.25 |        2.12 |        1.72 |        1.69 |        1.89 |        2.02 |        1.91 |        1.74 |        5.29 |        4.84 |        5.60 |        5.25 |        4.72 |        3.45 |        4.04 |        9.04 |        6.27 |        7.41 |        7.00 |        7.08 |        8.83 |        7.42 |        5.79 |        6.56 |        4.44 |        5.14 |        5.30 |        5.53 |        8.47 |        7.73 |        6.93 |        6.29 |        6.28 |        6.37 |        6.41 |        5.17 |        5.72 |        6.04 |        6.08
  Cache L3                           |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
    num cache accesses               |     3563861 |      429996 |     1168540 |      352613 |      193536 |      293546 |      317355 |      294941 |      278437 |      198453 |      188528 |      191655 |      250827 |      247054 |      242325 |      247985 |      176712 |      167987 |      161616 |      157013 |      172379 |      184931 |      162532 |      211914 |      203186 |      188477 |      185523 |      181387 |      187610 |      204148 |      210252 |      177219 |      159888 |       96182 |       96388 |      102173 |       95848 |       93637 |       75183 |       81641 |      140748 |      106715 |      129852 |      118284 |      110901 |      137598 |      123460 |      105078 |      113329 |       87130 |       99888 |      104012 |      103004 |      131218 |      125146 |      112334 |      110935 |      109593 |      113376 |      111478 |       97198 |      104984 |      118442 |      111525
    num cache misses                 |     2827721 |      273726 |     1069938 |      167337 |       75292 |       65774 |       58072 |       64118 |       76724 |       77654 |       89781 |       88710 |       60014 |       58294 |       58913 |       62599 |       60413 |       61262 |      104545 |       99227 |       84187 |      115737 |       93523 |      119652 |      112283 |      116890 |      113945 |      107308 |      114399 |      125313 |      125317 |      111999 |      120872 |       73453 |       73870 |       76548 |       68831 |       68342 |       48754 |       59149 |      115198 |       78136 |       96484 |       86327 |       85123 |      105282 |       93541 |       79586 |       87607 |       59583 |       69849 |       74333 |       72048 |       97792 |       90457 |       85416 |       84011 |       78639 |       81779 |       84447 |       72238 |       72115 |       81616 |       84464
    miss rate                        |      79.34% |      63.66% |      91.56% |      47.46% |      38.90% |      22.41% |      18.30% |      21.74% |      27.56% |      39.13% |      47.62% |      46.29% |      23.93% |      23.60% |      24.31% |      25.24% |      34.19% |      36.47% |      64.69% |      63.20% |      48.84% |      62.58% |      57.54% |      56.46% |      55.26% |      62.02% |      61.42% |      59.16% |      60.98% |      61.38% |      59.60% |      63.20% |      75.60% |      76.37% |      76.64% |      74.92% |      71.81% |      72.99% |      64.85% |      72.45% |      81.85% |      73.22% |      74.30% |      72.98% |      76.76% |      76.51% |      75.77% |      75.74% |      77.30% |      68.38% |      69.93% |      71.47% |      69.95% |      74.53% |      72.28% |      76.04% |      75.73% |      71.76% |      72.13% |      75.75% |      74.32% |      68.69% |      68.91% |      75.74%
    mpki                             |        3.16 |        2.26 |        4.04 |        1.42 |        0.67 |        0.55 |        0.47 |        0.52 |        0.63 |        0.70 |        0.82 |        0.77 |        0.50 |        0.48 |        0.48 |        0.52 |        0.53 |        0.53 |        1.55 |        1.40 |        0.96 |        1.83 |        1.39 |        2.04 |        1.54 |        1.84 |        1.69 |        1.30 |        1.42 |        1.50 |        1.60 |        1.55 |        1.57 |        4.37 |        3.99 |        4.50 |        4.08 |        3.71 |        2.45 |        3.14 |        7.67 |        4.90 |        5.79 |        5.46 |        5.86 |        7.08 |        5.93 |        4.68 |        5.30 |        3.33 |        3.84 |        4.04 |        4.16 |        6.60 |        5.94 |        5.67 |        5.06 |        4.78 |        4.85 |        5.12 |        4.09 |        4.15 |        4.41 |        4.85
DRAM summary                         |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num dram accesses                  |     7310878 |           0 |           0 |           0 |     4126336 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  average dram access latency (ns)   |       53.93 |         inf |         inf |         inf |      770.26 |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf |         inf
  average dram queueing delay        |       22.06 |        0.00 |        0.00 |        0.00 |      738.40 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00 |        0.00
  average dram bandwidth utilization |       5.00% |       0.00% |       0.00% |       0.00% |       2.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00% |       0.00%
Coherency Traffic                    |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |             |            
  num loads from dram                |     1924466 |      207851 |      336862 |      131798 |       48956 |       43532 |       39982 |       43375 |       51984 |       54431 |       59357 |       58381 |       38636 |       37944 |       39457 |       40814 |       33681 |       37544 |       65112 |       56848 |       52638 |       72048 |       60982 |       83783 |       73343 |       78258 |       76879 |       59044 |       73594 |       85056 |       85260 |       66703 |       76504 |       45412 |       47150 |       52450 |       45566 |       43098 |       28240 |       40266 |       90415 |       50808 |       68821 |       57660 |       59553 |       78442 |       67401 |       54389 |       65699 |       36135 |       45726 |       51597 |       48358 |       74986 |       63989 |       59715 |       59996 |       55646 |       58544 |       61884 |       51403 |       51264 |       58715 |       64576
  num loads from dram cache          |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0 |           0
  num loads from remote cache        |       17565 |       22355 |       14194 |       20015 |       14691 |       11864 |        8268 |       10578 |       13478 |       11698 |       16667 |       18155 |       11149 |       10359 |       10052 |       11922 |       17347 |       15173 |       13963 |       16852 |       13034 |       13352 |        9932 |        9501 |        9752 |       12989 |       11928 |       15581 |       12059 |        9616 |        9503 |       13485 |       14241 |       18073 |       17222 |       14752 |       14283 |       16226 |       11831 |       11031 |       17277 |       16975 |       17737 |       17331 |       14779 |       17258 |       16478 |       15291 |       14747 |       12953 |       14864 |       13596 |       13754 |       14078 |       15805 |       14533 |       14064 |       13611 |       14224 |       13598 |       11890 |       12162 |       13255 |       11031
